"","early_interval","interval.ma","occurrence_no","fad","lad","accepted_name","ex","phylum","class","family","paleolat","paleolng","collection_no","reference_no"
"1","Induan",251.2,820445,251.2,251.2,"Abrekopsis",1,"Mollusca","Bivalvia","Naticopsidae",21.01,142.39,90210,30271
"2","Induan",251.2,820411,251.2,251.2,"Abrekopsis",1,"Mollusca","Bivalvia","Naticopsidae",21.01,142.39,90207,30271
"3","Induan",251.2,820456,251.2,251.2,"Abrekopsis",1,"Mollusca","Bivalvia","Naticopsidae",21.01,142.39,90211,30271
"4","Induan",251.2,820484,251.2,251.2,"Abrekopsis",1,"Mollusca","Bivalvia","Naticopsidae",21.01,142.39,90218,30271
"5","Changhsingian",252.17,1160608,358.9,252.17,"Acanthopecten",1,"Mollusca","Bivalvia","Limipectinidae",-17.05,108.91,149218,36523
"6","Changhsingian",252.17,957704,358.9,252.17,"Acanthopecten",1,"Mollusca","Bivalvia","Limipectinidae",-15.26,104.61,112093,33770
"7","Changhsingian",252.17,957180,358.9,252.17,"Acanthopecten",1,"Mollusca","Bivalvia","Limipectinidae",-15.26,104.61,112011,33770
"8","Changhsingian",252.17,1625496,330.9,0.0117,"Acharax",0,"Mollusca","Bivalvia","Solemyidae",12.14,36.16,230025,84610
"9","Changhsingian",252.17,1625562,330.9,0.0117,"Acharax",0,"Mollusca","Bivalvia","Solemyidae",12.12,36.17,230037,84610
"10","Changhsingian",252.17,1625509,330.9,0.0117,"Acharax",0,"Mollusca","Bivalvia","Solemyidae",12.14,36.16,230026,84610
"11","Changhsingian",252.17,1625636,330.9,0.0117,"Acharax",0,"Mollusca","Bivalvia","Solemyidae",12.05,36.31,230054,84610
"12","Changhsingian",252.17,994455,387.7,252.17,"Aclisina",1,"Mollusca","Bivalvia","Orthonematidae",-16.95,108.49,120146,33737
"13","Changhsingian",252.17,884234,259.9,113,"Acteonina",0,"Mollusca","Gastropoda","Acteoninidae",-15.41,104.04,98029,33770
"14","Changhsingian",252.17,972154,268.8,252.17,"Actinodontophora",1,"Mollusca","Bivalvia","Actinodontophoridae",2.18,129.88,114491,33625
"15","Changhsingian",252.17,1439126,268.8,252.17,"Actinodontophora",1,"Mollusca","Bivalvia","Actinodontophoridae",1.4,127.6,114489,19109
"16","Changhsingian",252.17,938894,440.8,252.17,"Actinopteria",1,"Mollusca","Bivalvia","Pterineidae",-15.13,104.76,108546,33502
"17","Changhsingian",252.17,884230,440.8,252.17,"Actinopteria",1,"Mollusca","Bivalvia","Pterineidae",-15.41,104.04,98029,33770
"18","Changhsingian",252.17,1639366,330.9,228,"Allorisma",0,"Mollusca","Bivalvia","Edmondiidae",12.08,35.21,232368,86422
"19","Changhsingian",252.17,1467774,330.9,228,"Allorisma",0,"Mollusca","Bivalvia","Edmondiidae",12.12,36.16,204983,70360
"20","Changhsingian",252.17,494773,330.9,228,"Allorisma",0,"Mollusca","Bivalvia","Edmondiidae",13.36,-29.56,50002,13432
"21","Changhsingian",252.17,991749,330.9,228,"Allorisma",0,"Mollusca","Bivalvia","Edmondiidae",-35.59,52.23,119720,27333
"22","Induan",251.2,1250809,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.86,36.13,165125,53993
"23","Induan",251.2,1250120,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.87,36.38,165029,53993
"24","Induan",251.2,1250124,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.87,36.38,165030,53993
"25","Induan",251.2,1250066,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.87,36.38,165014,53993
"26","Induan",251.2,974602,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.99,35.67,116033,86099
"27","Induan",251.2,974592,298.9,251.2,"Altadema",1,"Mollusca","Bivalvia","Goniasmatidae",12.83,35.7,116029,86099
"28","Changhsingian",252.17,957631,268.8,252.17,"Alula",1,"Mollusca","Bivalvia","Sanguinolitidae",-15.26,104.61,112090,33770
"29","Changhsingian",252.17,996152,330.9,242,"Ananias",0,"Mollusca","Gastropoda","Gosseletinidae",-87.2,-127.08,41786,14319
"30","Changhsingian",252.17,1036669,330.9,242,"Ananias",0,"Mollusca","Gastropoda","Gosseletinidae",-35.16,52.3,126988,28589
"31","Changhsingian",252.17,515062,330.9,242,"Ananias",0,"Mollusca","Gastropoda","Gosseletinidae",-87.62,-101.98,41765,14319
"32","Changhsingian",252.17,991258,346.7,252.17,"Anematina",1,"Mollusca","Gastropoda","Elasmonematidae",-35.54,52.06,119554,16403
"33","Changhsingian",252.17,1035685,346.7,252.17,"Anematina",1,"Mollusca","Gastropoda","Elasmonematidae",-35.32,52.06,126896,28589
"34","Changhsingian",252.17,991260,346.7,252.17,"Anematina",1,"Mollusca","Gastropoda","Elasmonematidae",-35.59,52.2,119659,16403
"35","Changhsingian",252.17,771684,295.5,252.17,"Annuliconcha",1,"Mollusca","Bivalvia","Annuliconchidae",-15.35,105.29,82631,27812
"36","Induan",251.2,987623,265.1,0.0117,"Anomia",0,"Mollusca","Bivalvia","Anomiidae",43.93,22.62,118560,33700
"37","Induan",251.2,481683,265.1,0.0117,"Anomia",0,"Mollusca","Bivalvia","Anomiidae",43.8,22.74,48113,12885
"38","Changhsingian",252.17,955128,265.1,0.0117,"Anomia",0,"Mollusca","Bivalvia","Anomiidae",-13.04,115.6,111730,33176
"39","Induan",251.2,481111,265.1,0.0117,"Anomia",0,"Mollusca","Bivalvia","Anomiidae",40.88,22.89,48064,12856
"40","Induan",251.2,987423,265.1,0.0117,"Anomia",0,"Mollusca","Bivalvia","Anomiidae",43.94,22.62,118489,33700
"41","Induan",251.2,575558,407.6,199.3,"Anomphalus",0,"Mollusca","Gastropoda","Anomphalidae",-9.37,115.53,60525,17398
"42","Changhsingian",252.17,494931,407.6,199.3,"Anomphalus",0,"Mollusca","Gastropoda","Anomphalidae",-16.95,108.49,50024,13431
"43","Changhsingian",252.17,575556,407.6,199.3,"Anomphalus",0,"Mollusca","Gastropoda","Anomphalidae",-9.98,114.85,60524,17398
"44","Changhsingian",252.17,971334,295.5,252.17,"Apachella",1,"Mollusca","Gastropoda","Gosseletinidae",2.25,128.69,115239,33623
"45","Induan",251.2,981455,251.2,182.7,"Asoella",0,"Mollusca","Bivalvia","Hunanopectinidae",-11.37,106.49,117508,29971
"46","Induan",251.2,1439898,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,200994,67174
"47","Changhsingian",252.17,938924,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108548,33502
"48","Changhsingian",252.17,1036050,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.32,52.06,126934,28589
"49","Induan",251.2,1440046,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.75,106.83,201007,67174
"50","Changhsingian",252.17,938916,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108547,33502
"51","Induan",251.2,1440018,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,201004,67174
"52","Changhsingian",252.17,998597,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.54,105.64,121007,27812
"53","Changhsingian",252.17,1035967,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.32,52.06,126898,28589
"54","Changhsingian",252.17,1422410,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-14.73,104.99,197493,67353
"55","Changhsingian",252.17,991752,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.54,52.06,119554,27333
"56","Changhsingian",252.17,957920,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.42,104.08,112113,33770
"57","Changhsingian",252.17,938899,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108546,33502
"58","Induan",251.2,1439988,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.75,106.83,201002,67174
"59","Induan",251.2,1439954,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.75,106.83,201000,67174
"60","Changhsingian",252.17,884222,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.41,104.04,98029,33770
"61","Changhsingian",252.17,991753,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.59,52.23,119678,27333
"62","Changhsingian",252.17,938933,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108551,33502
"63","Changhsingian",252.17,938889,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108545,33502
"64","Changhsingian",252.17,938880,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.13,104.76,108544,33502
"65","Induan",251.2,1371647,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-15.37,106.82,187281,62810
"66","Changhsingian",252.17,957742,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-15.26,104.61,112095,33770
"67","Induan",251.2,905047,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-15.53,106.74,96695,62810
"68","Changhsingian",252.17,968146,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",2.16,129.9,117837,27485
"69","Changhsingian",252.17,811604,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.24,52.12,89061,27333
"70","Changhsingian",252.17,998547,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-16.04,105.72,121005,27812
"71","Changhsingian",252.17,1035674,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.32,52.06,126896,28589
"72","Induan",251.2,1371659,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-15.37,106.82,187282,62810
"73","Induan",251.2,1439926,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.78,106.84,200997,67174
"74","Changhsingian",252.17,762669,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.38,52.12,81504,27333
"75","Changhsingian",252.17,991754,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.51,52.19,119722,27333
"76","Induan",251.2,1439874,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,200991,67174
"77","Induan",251.2,1371677,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-15.52,106.74,187283,62810
"78","Changhsingian",252.17,936571,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-16.83,86.45,108196,33493
"79","Induan",251.2,1440087,330.9,251.2,"Astartella",1,"Mollusca","Bivalvia","Astartidae",-14.75,106.83,201013,67174
"80","Changhsingian",252.17,968149,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",2.16,129.89,114530,27485
"81","Changhsingian",252.17,972105,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-37.2,55.08,115373,27486
"82","Changhsingian",252.17,1036004,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-35.32,52.06,126933,28589
"83","Changhsingian",252.17,1422401,330.9,251.2,"Astartella",0,"Mollusca","Bivalvia","Astartidae",-14.73,104.99,197492,67353
"84","Changhsingian",252.17,885324,295.5,252.17,"Astartila",1,"Mollusca","Bivalvia","Megadesmidae",-87.27,-122.32,98149,33545
"85","Induan",251.2,1439899,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,200994,67174
"86","Induan",251.2,1371613,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-15.87,107.54,187278,62810
"87","Induan",251.2,1371679,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-15.52,106.74,187283,62810
"88","Induan",251.2,1439825,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,200988,67174
"89","Induan",251.2,1439875,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-14.74,106.83,200991,67174
"90","Induan",251.2,905048,251.2,251.2,"Astartopsis",1,"Mollusca","Bivalvia","Astartidae",-15.53,106.74,96695,34600
"91","Induan",251.2,1439804,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.75,106.83,200987,67174
"92","Changhsingian",252.17,441626,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-45.21,53.11,43283,11418
"93","Induan",251.2,1439782,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.74,106.83,200985,67174
"94","Changhsingian",252.17,995826,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-46.36,52.7,120386,18038
"95","Changhsingian",252.17,441069,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-45.31,53.15,43178,11418
"96","Induan",251.2,1440067,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.79,106.75,201012,67174
"97","Changhsingian",252.17,590945,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-46.48,52.74,62447,18038
"98","Induan",251.2,1439948,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.75,106.83,201000,67174
"99","Changhsingian",252.17,441482,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-45.31,53.15,43232,11418
"100","Changhsingian",252.17,685677,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-87.51,-126.37,73851,24757
"101","Induan",251.2,1439821,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.74,106.83,200988,67174
"102","Changhsingian",252.17,441128,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-45.31,53.15,43187,11418
"103","Induan",251.2,1439893,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.74,106.83,200994,67174
"104","Induan",251.2,1439920,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.78,106.84,200997,67174
"105","Changhsingian",252.17,441509,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-45.12,53.25,43244,11418
"106","Induan",251.2,1371592,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-15.87,107.54,187277,62810
"107","Induan",251.2,1518240,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",54.75,22.9,212074,73263
"108","Changhsingian",252.17,590956,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-46.36,52.7,62450,18038
"109","Induan",251.2,1440043,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.75,106.83,201007,67174
"110","Induan",251.2,1530522,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",82.83,99.68,214748,74103
"111","Induan",251.2,1371486,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-15.8,107.57,187267,62810
"112","Changhsingian",252.17,996199,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-88.7,71.56,120441,33741
"113","Changhsingian",252.17,966190,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",74.4,58.64,113991,18038
"114","Changhsingian",252.17,590953,295.5,251.2,"Atomodesma",0,"Mollusca","Bivalvia","Atomodesmatidae",-46.37,52.7,62449,18038
"115","Induan",251.2,1439870,295.5,251.2,"Atomodesma",1,"Mollusca","Bivalvia","Atomodesmatidae",-14.74,106.83,200991,67174
"116","Induan",251.2,1319516,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177396,60793
"117","Induan",251.2,1439774,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,200985,67174
"118","Induan",251.2,1250041,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165009,60793
"119","Induan",251.2,1424695,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.94,36.21,197894,67172
"120","Induan",251.2,1170132,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",25.49,-33.04,150732,60793
"121","Induan",251.2,1439964,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,201001,67174
"122","Induan",251.2,1319467,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177377,60793
"123","Induan",251.2,1319502,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177391,60793
"124","Induan",251.2,1319539,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177403,60793
"125","Induan",251.2,1319460,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177373,60793
"126","Induan",251.2,1250799,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165122,60793
"127","Induan",251.2,1250735,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.13,165105,60793
"128","Induan",251.2,1319536,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177402,60793
"129","Induan",251.2,481686,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",43.8,22.74,48113,60793
"130","Induan",251.2,1439999,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,201003,67174
"131","Induan",251.2,1170112,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",29.54,-34.82,150721,60793
"132","Induan",251.2,1170126,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",25.58,-31.16,150728,60793
"133","Induan",251.2,1319541,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177404,60793
"134","Induan",251.2,1440012,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,201004,67174
"135","Induan",251.2,1439914,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.78,106.84,200997,67174
"136","Induan",251.2,1170075,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.62,-29.89,150713,60793
"137","Induan",251.2,1439814,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,200988,67174
"138","Induan",251.2,1250776,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165117,60793
"139","Induan",251.2,1439863,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,200991,67174
"140","Induan",251.2,1319471,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177379,60793
"141","Induan",251.2,1250727,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.13,165102,60793
"142","Induan",251.2,1170058,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.63,-29.9,150706,60793
"143","Induan",251.2,1476311,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-12.56,104.62,205983,70657
"144","Induan",251.2,1424698,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.94,36.21,197897,67172
"145","Induan",251.2,1319512,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177394,60793
"146","Induan",251.2,1319481,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177382,60793
"147","Induan",251.2,1250077,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165017,60793
"148","Induan",251.2,1319510,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177393,60793
"149","Induan",251.2,1250037,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165008,60793
"150","Induan",251.2,820461,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",21.01,142.39,90211,60793
"151","Induan",251.2,1440076,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.75,106.83,201013,67174
"152","Induan",251.2,1250784,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165119,60793
"153","Induan",251.2,1250794,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165121,60793
"154","Induan",251.2,1250733,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.13,165104,60793
"155","Induan",251.2,1170094,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",29.44,-34.72,150717,60793
"156","Induan",251.2,1476308,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-12.56,104.62,205982,70657
"157","Induan",251.2,1424600,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197823,67172
"158","Induan",251.2,1170071,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.62,-29.89,150711,60793
"159","Induan",251.2,1424616,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197836,67172
"160","Induan",251.2,1319522,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177398,60793
"161","Induan",251.2,1424591,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197820,67172
"162","Induan",251.2,1439744,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.75,106.73,200982,67174
"163","Induan",251.2,1170090,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",29.44,-34.72,150716,60793
"164","Induan",251.2,1439799,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.75,106.83,200987,67174
"165","Induan",251.2,1250729,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.13,165103,60793
"166","Induan",251.2,1439834,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.74,106.83,200989,67174
"167","Induan",251.2,1319477,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177381,60793
"168","Induan",251.2,1170085,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",29.44,-34.72,150715,60793
"169","Induan",251.2,1250824,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165129,60793
"170","Induan",251.2,1476279,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.11,104.53,205972,70657
"171","Induan",251.2,1250024,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165006,60793
"172","Induan",251.2,1170078,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",30.31,-33.37,150714,60793
"173","Induan",251.2,1319529,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177400,60793
"174","Induan",251.2,1424626,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197843,67172
"175","Induan",251.2,921372,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.62,-29.89,105378,60793
"176","Induan",251.2,1476276,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.11,104.53,205971,70657
"177","Induan",251.2,1250055,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165012,60793
"178","Induan",251.2,820420,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",21.01,142.39,90207,60793
"179","Induan",251.2,1170101,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",29.44,-34.72,150718,60793
"180","Induan",251.2,1250031,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165007,60793
"181","Induan",251.2,1250047,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165011,60793
"182","Induan",251.2,1476315,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-12.56,104.62,205984,70657
"183","Induan",251.2,1250769,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165116,60793
"184","Induan",251.2,1319483,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177383,60793
"185","Induan",251.2,1250762,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.86,36.13,165114,60793
"186","Induan",251.2,1319506,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177392,60793
"187","Induan",251.2,1250840,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,165135,60793
"188","Induan",251.2,1170063,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.63,-29.9,150708,60793
"189","Induan",251.2,921383,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",28.44,-30.84,105382,60793
"190","Induan",251.2,1319548,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177407,60793
"191","Induan",251.2,1424585,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197819,67172
"192","Induan",251.2,1250099,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165022,60793
"193","Induan",251.2,1250043,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.87,36.38,165010,60793
"194","Induan",251.2,1319475,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177380,60793
"195","Induan",251.2,1424580,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",12.74,36.16,197816,67172
"196","Induan",251.2,921391,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",28.65,-31.3,105386,60793
"197","Induan",251.2,1319552,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",8.35,40.84,177409,60793
"198","Induan",251.2,1170073,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",26.62,-29.89,150712,60793
"199","Induan",251.2,1476377,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.54,104.84,205994,70657
"200","Induan",251.2,1476389,251.2,33.9,"Austrotindaria",0,"Mollusca","Bivalvia","Tindariidae",-14.54,104.84,205995,70657
